"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"init-1","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.66","1","EXECUTED","8:3415746961cd0dd97f04038a311c9e0d","createTable tableName=ems_backoffice_com","","","4.4.3","()","","5047633198"
"init-2","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.671","2","EXECUTED","8:16354468deb713761e62d94484eb6934","createTable tableName=ems_backoffice_pet","","","4.4.3","()","","5047633198"
"init-3","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.672","3","EXECUTED","8:8d74b5e15ec13f70508a6adc4dc54806","createTable tableName=ems_backoffice_sol","","","4.4.3","()","","5047633198"
"init-4","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.674","4","EXECUTED","8:ae180c7d578926066c37a420ba10b547","createTable tableName=ems_redir_missatge","","","4.4.3","()","","5047633198"
"init-5","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.677","5","EXECUTED","8:68a594afcfd4bdb51dc71932980e5339","createTable tableName=ems_redir_peticio","","","4.4.3","()","","5047633198"
"init-6","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.679","6","EXECUTED","8:dfaeb37adbcb3c3d7ad1810f09753773","createTable tableName=ems_redir_solicitud","","","4.4.3","()","","5047633198"
"init-7","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.682","7","EXECUTED","8:191575f4ec72a73c0dba6139093e555a","createTable tableName=ems_servei","","","4.4.3","()","","5047633198"
"init-8","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.685","8","EXECUTED","8:f8ff478bf96fbf8197d6df01c36dd962","createTable tableName=ems_servei_ruta_desti","","","4.4.3","()","","5047633198"
"init-9","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.688","9","EXECUTED","8:833d1ecda856eb9fcf0d2228cf96bf94","createTable tableName=ems_usuari","","","4.4.3","()","","5047633198"
"init-10","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.691","10","EXECUTED","8:d09dac95f0c0c33790e907fe0fc5c658","createTable tableName=ems_acl_sid","","","4.4.3","()","","5047633198"
"init-11","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.694","11","EXECUTED","8:07824515ee83c5507ff14013e8e85dde","createTable tableName=ems_acl_class","","","4.4.3","()","","5047633198"
"init-12","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.697","12","EXECUTED","8:612adfe54682bb65eae1baa5187d5a3b","createTable tableName=ems_acl_object_identity","","","4.4.3","()","","5047633198"
"init-13","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.7","13","EXECUTED","8:15fa70201169df18e5dcef3c5bd5cafc","createTable tableName=ems_acl_entry","","","4.4.3","()","","5047633198"
"init-14","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.705","14","EXECUTED","8:b34bb783d15fd6bb08ab173b5901900f","createTable tableName=core_cache_certificados","","","4.4.3","()","","5047633198"
"init-15","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.711","15","EXECUTED","8:ac33174bae197b1aeabf34e66933f2a4","createTable tableName=core_clave_privada","","","4.4.3","()","","5047633198"
"init-15a","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.721","16","EXECUTED","8:76bd237927e563656b9742033c34bc90","sql","","","4.4.3","caib","","5047633198"
"init-16","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.725","17","EXECUTED","8:48c43a088ad453d2205d8cd7f8cdcdc9","createTable tableName=core_clave_publica","","","4.4.3","()","","5047633198"
"init-17","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.729","18","EXECUTED","8:f69891e9197d36cc52f9364c266f1993","createTable tableName=core_codigo_error","","","4.4.3","()","","5047633198"
"init-18","limit (generated)","db/changelog/initial_schema_table.yaml","2023-09-18T16:33:58.733","19","EXECUTED","8:4fe37d85662c6997b5bfcb81383bcfa0","createTable tableName=core_emisor_certificado","","","4.4.3","()","","5047633198"
